Country,ASN,Timestamp,Test,Status
US,AS 7922,AS 7922,2025-07-09 19:17 UTC,Accessible
US,AS 13335,AS 13335,2025-07-09 19:17 UTC,Accessible
FR,AS 12322,AS 12322,2025-07-09 19:16 UTC,Accessible
MX,AS 265605,AS 265605,2025-07-09 19:16 UTC,Accessible
GB,AS 2856,AS 2856,2025-07-09 19:16 UTC,Accessible
GB,AS 2856,AS 2856,2025-07-09 19:16 UTC,Accessible
JM,AS 40786,AS 40786,2025-07-09 19:16 UTC,Accessible
SS,AS 37594,AS 37594,2025-07-09 19:16 UTC,Accessible
BE,AS 5432,AS 5432,2025-07-09 19:15 UTC,Accessible
ME,AS 43940,AS 43940,2025-07-09 19:15 UTC,Accessible
FR,AS 12322,AS 12322,2025-07-09 19:14 UTC,Accessible
US,AS 701,AS 701,2025-07-09 19:14 UTC,Accessible
BR,AS 269057,AS 269057,2025-07-09 19:14 UTC,Accessible
IN,AS 55836,AS 55836,2025-07-09 19:14 UTC,Accessible
GB,AS 2856,AS 2856,2025-07-09 19:13 UTC,Accessible
BE,AS 5432,AS 5432,2025-07-09 19:13 UTC,Accessible
ES,AS 12430,AS 12430,2025-07-09 19:12 UTC,Accessible
DE,AS 3209,AS 3209,2025-07-09 19:12 UTC,Accessible
FR,AS 3215,AS 3215,2025-07-09 19:12 UTC,Accessible
US,AS 11351,AS 11351,2025-07-09 19:12 UTC,Accessible
BF,AS 25543,AS 25543,2025-07-09 19:12 UTC,Accessible
RU,AS 35807,AS 35807,2025-07-09 19:11 UTC,Anomaly
RU,AS 8402,AS 8402,2025-07-09 19:11 UTC,Anomaly
SA,AS 39891,AS 39891,2025-07-09 19:11 UTC,Accessible
PL,AS 6830,AS 6830,2025-07-09 19:11 UTC,Accessible
RU,AS 51604,AS 51604,2025-07-09 19:11 UTC,Accessible
NL,AS 1136,AS 1136,2025-07-09 19:11 UTC,Accessible
FR,AS 3215,AS 3215,2025-07-09 19:10 UTC,Accessible
US,AS 701,AS 701,2025-07-09 19:10 UTC,Accessible
US,AS 7922,AS 7922,2025-07-09 19:10 UTC,Accessible
ID,AS 149344,AS 149344,2025-07-09 19:10 UTC,Accessible
DE,AS 3209,AS 3209,2025-07-09 19:10 UTC,Accessible
NO,AS 224,AS 224,2025-07-09 19:10 UTC,Accessible
KE,AS 33771,AS 33771,2025-07-09 19:10 UTC,Accessible
RU,AS 12389,AS 12389,2025-07-09 19:10 UTC,Anomaly
DE,AS 3320,AS 3320,2025-07-09 19:10 UTC,Accessible
VE,AS 264731,AS 264731,2025-07-09 19:10 UTC,Anomaly
US,AS 3737,AS 3737,2025-07-09 19:09 UTC,Accessible
US,AS 11427,AS 11427,2025-07-09 19:09 UTC,Accessible
CA,AS 25668,AS 25668,2025-07-09 19:08 UTC,Accessible
US,AS 14593,AS 14593,2025-07-09 19:08 UTC,Accessible
CZ,AS 16246,AS 16246,2025-07-09 19:08 UTC,Accessible
ID,AS 17451,AS 17451,2025-07-09 19:08 UTC,Accessible
JP,AS 55391,AS 55391,2025-07-09 19:08 UTC,Accessible
FI,AS 51765,AS 51765,2025-07-09 19:07 UTC,Accessible
EC,AS 14522,AS 14522,2025-07-09 19:07 UTC,Accessible
NO,AS 29695,AS 29695,2025-07-09 19:07 UTC,Accessible
FR,AS 12322,AS 12322,2025-07-09 19:07 UTC,Accessible
US,AS 7018,AS 7018,2025-07-09 19:07 UTC,Accessible
VN,AS 45899,AS 45899,2025-07-09 19:07 UTC,Accessible
