Country,Providers
Algeria,"Algerie Telecom, wataniya-telecom, Optimum-Telecom-Algeria, Algerie Telecom Mobile MOBILIS"
Argentina,"Claro Argentina, Personal, Telefonica de Argentina, TeleCentro, Movistar Argentina, Empresa Argentina de Soluciones Satelitales S.A., Gigared S.A., Teledifusora S.A."
Armenia,Viva MTS
Australia,"Optus, Vodafone Australia, TPG Internet, Telstra Internet, Aussie Broadband, ""Choopa, LLC"""
Austria,"A1 Telekom Austria, Magenta Telekom, Hutchison Drei Austria GmbH"
Bangladesh,"GrameenPhone, Digi Jadoo Broadband, ICC Communication, Link3 Technologies, Banglalink, EARTH TELECOMMUNICATION Pvt, Teletalk Bangladesh, DeVoteD NBN, TELENOR, Robi"
Belarus,"Beltelecom, MTS Belarus"
Belgium,"VOO, Proximus, Telenet, Orange Belgium, Scarlet Belgium"
Bosnia and Herzegovina,"Mtel Bosnia, BH Telecom d.d. Sarajevo"
Brazil,"Vivo, Claro NET, Algar Telecom, Claro Brazil, V tal, TIM Brasil, Vtal, Brisanet Servicos De Telecomunicacoes Ltda, Unifique Telecomunicacoes SA, Vero Internet, Desktop Sigmanet Comunicacao Multimidia SA, Vm Openlink, TIM LIVE"
Bulgaria,"A1 Bulgaria, Vivacom, Bulsatcom EOOD, Telenor Bulgaria"
Canada,"Bell Canada,TELUS, Cogeco Cable, Xplornet Communications, OVH Hosting, OVH SAS, EastLink, Rogers Wireless, SaskTel, TekSavvy Solutions, Videotron Ltee, TELUS DSL Internet, M247 Europe SRL, Shaw Communications, Virgin Mobile DSL, Rogers Cable, Bell Mobility, Digital Ocean, Bell DSL Internet, Telus Communications, ""Choopa, LLC"""
Chile,"Entel Chile, VTR Banda Ancha, Mundo Chile, WOM Chile, Movistar Fibra"
China,"Hurricane Electric, Tencent cloud computing, CNISP Group, China Mobile, China Unicom, China Telecom Guangdong province Guangzhou MAN net, China Telecom, ""Hangzhou Alibaba Advertising Co.,Ltd."", ""Shijiazhuang IDC network, CHINANET Hebei province"""
Colombia,"Tigo Colombia, Claro Colombia, ETB, Movistar Colombia, Telmex Colombia S.A."
Croatia,"A1 Hrvatska, Iskon Internet, Telemach Hrvatska d.o.o., Hrvatski Telekom"
Czech Republic,"Vodafone Czech Republic, T-Mobile Czech DSL, O2 Czech Republic"
Denmark,"Telia, TDC Danmark, Telenor A/S, Fibia, Norlys, Hi3G Access AB"
Dominican Republic,Claro Dominican Republic
Egypt,"Orange Egypt, Vodafone Egypt, Telecom Egypt, Etisalat Misr, Link Egypt"
Finland,"DNA Oyj, Elisa Mobile, Telia Finland, Elisa, Hetzner Online GmbH"
France,"Techcrea Solutions SAS, Scaleway, Host Europe GmbH, Orange, SFR, OVH SAS, Datacamp Limited,Amazon.com, Free SAS, Bouygues Telecom, Vodafone Germany, Lycamobile, Free Mobile SAS, M247 Europe SRL, GTHost"
Germany,"M-net, Leaseweb Germany, Heficed, Deutsche Telekom AG, iCloud Private Relay, Host Europe GmbH, NetCologne GmbH, GTHost, Digital Ocean, Hetzner Online GmbH, Inexio, 1&1 Internet AG, Vodafone Germany, O2 Deutschland, M247 Europe SRL,wilhelm.tel, Alibaba, htp GmbH,Amazon.com, myLoc managed IT AG, Plusnet, Versatel Deutschland, Hetzner Online, SFCTEK Bilisim Yazilim ve Telekomunikasyon Hiz. Sa, Contabo GmbH, Linode, Akamai Technologies, EWE-Tel GmbH, Deutsche Glasfaser, Tele Columbus AG, OVH SAS, Datacamp Limited, ""Choopa, LLC"""
Greece,"Cosmote Mobile Telecommunications S.A., Wind Hellas, Cosmote, FORTHnet SA, Vodafone Greece"
Hashemite Kingdom of Jordan,"Batelco Jordan, Zain Jordan, Jordan Telecommunications PSC"
Hong Kong,"Hong Kong Broadband Network, HGC Broadband, Netvigator, ""High Family Technology Co., Limited"""
Hungary,"Vodafone Hungary, Yettel Hungary, Digi TV, Magyar Telekom"
India,"Airtel Broadband, Asianet, Kerala Vision Broad Band Private Limited, Hathway, Ani Network, Airtel, BSNL, Vodafone Idea, Excitel, Siti Networks, Oneott Intertainment Limited, Netplus Broadband, Cloudflare, Quadrant Televentures Limited, Andhra Pradesh State FiberNet Limited, Alliance Broadband Services Pvt., GTPL Broadband, RailTel Corporation Of India Ltd., Railwire Station Wifi, Ultranet services private limited, Jio, ACT Fibernet, Tata Play Fiber"
Indonesia,"INDOSAT Internet Network Provider, Telkomsel, PT Telkom Indonesia, Three Indonesia, XL Axiata"
Iraq,"Allay Nawroz Telecom Company for Communication/Ltd, Hala Al Rafidain Company for Communications and In, Al Atheer Telecommunication-Iraq Co. Ltd. Incorpor, Hulum Almustakbal Company for Communication Engine, Asiacell Communications Pjsc, O3-Telecom"
Ireland,"Virgin Media Ireland, Vodafone Ireland, Eir Broadband"
Israel,"Pelephone, HOT Mobile, HOTnet, XFone 018, Cellcom, Bezeq, Partner Communications, Bezek"
Italy,"EOLO, Sky Italia srl, OpNet spa, Telecom Italia Mobile, Wind Tre, Telecom Italia, Vodafone Italia DSL, Telecom Italia Business, Tiscali SpA, M247 Europe SRL, Fastweb, Vodafone Italia, Iliad Italia"
Japan,"ARTERIA Networks Corporation, So-net, au one net, QTNet, J:COM, Rakuten Mobile Network, JPNE, VECTANT, Chubu Telecommunications Company, NTT, NTT Docomo, K-Opticom Corporation, Asahi Net, TOKAI, Biglobe, Softbank BB, JCOM Co."
Kazakhstan,"Tele2 Kazakhstan, Tele2 KZ, 2Day Telecom LLP, JSC Kazakhtelecom, Kcell JSC, TNS-Plus LLP"
Laos,"""Lao Telecom Communication, LTC"""
Libya,Al-Madar-Al-Jadeed
Lithuania,"""Telia Lietuva, AB"""
Malaysia,"TM Net, Maxis Communications, U Mobile Sdn Bhd, Ytl Communications Sdn Bhd, TIME Fibre Optic, Celcom Axiata Berhad, Digi Malaysia, Webe Digital Sdn. Bhd."
Mexico,"Telcel, Totalplay, izzi, Telmex, AT&T Mexico, Movistar Mexico, Megacable, Cablevision S.A. de C.V., ""ALTAN REDES, S.A.P.I. de C. V."", ""Mexico Red de Telecomunicaciones, S. de R.L. de C."", ""Alestra, S. de R.L. de C.V."""
Mongolia,"MobiCom Corporation, Univision"
Morocco,"Orange Morocco, Wana Corporate, Maroc Telecom"
Nepal,"Ncell Pvt., Nepal Telecom, Simple Media Network Private Limited, WorldLink Communications Pvt"
Netherlands,"KPN, Scaleway, Datacamp Limited, M247 Europe SRL, T-Mobile Netherlands, Zomro B.V., Ziggo, WorldStream B.V., T-Mobile Thuis"
New Zealand,"Vodafone New Zealand, Spark New Zealand"
Nigeria,MTN Nigeria
Norway,"Telenor Norge, Telia Norge, Telia Norge AS, Globalconnect, Altibox AS"
Pakistan,"PTCL, CMPak Limited, Telenor Pakistan, Mobilink Mobile Internet"
Palestine,Palestine Telecommunications Company (PALTEL)
Peru,"Telefonica del Peru, Wi-net Telecom S.a.c., Entel Peru, Bitel, Claro Peru"
Philippines,"Globe Telecom, Philippine Long Distance Telephone, Converge"
Poland,"Play, Multi Media, UPC Polska, Vectra Broadband, T-mobile Polska, Cyfrowy Polsat, INEA, Orange Mobile, Orange Swiatlowod, Plus Poland, Orange Polska, Netia SA"
Portugal,"Vodafone Portugal, MEO, ""Nos Comunicacoes, S.A."""
Republic of Korea,"SK Broadband, LG Uplus, LG DACOM Corporation, LG HelloVision Corp., Lg Powercomm, SK Telecom, Korea Telecom"
Romania,"Vodafone Romania, Digi Romania, Orange Romania Communications, Digi Romania Business, Orange Romania, Telekom Romania Mobile Communications S.A."
Russia,"ER-Telecom, Joint Stock Company TransTeleCom, I-servers Ltd, JSC Comcor, Tattelecom, Skynet, Melbikomas UAB, Yota, ServTech LTD, First Server Limited, JSC Ufanet, Tele2 Russia, YANDEX LLC, Kontel LLC, Novotelecom Ltd, RETN Limited, JSC RetnNet, Rostelecom, Intersvyaz, PJSC MegaFon, Moscow City Telephone Network, Beeline, JSC Severen-Telecom, Beeline Home, Cloudflare, MTS PJSC"
Serbia,"SBB, Telenor d.o.o., Telekom Srbija"
Singapore,"SingTel Mobile, Tencent cloud computing, StarHub, Singtel Fibre, Datacamp Limited, Digital Ocean, OVH SAS, M1,Amazon.com, OVH Hosting, OVH, Simba Telecom Pte"
Slovak Republic,"Slovak Telekom, Orange Slovensko"
Slovenia,"Telekom Slovenije, T-2, A1 Slovenija, Telemach"
South Africa,"rain, MTN Business Solutions, Vodacom, Telkom Internet"
Spain,"Digi Spain, Vodafone Ono, Telefonica de Espana, Yoigo, Euskaltel, Orange Espana, Telefonica de Espana Static IP, Jazztel, Vodafone Spain"
Sri Lanka,"Dialog Axiata, Airtel Lanka, Mobitel, Hutch Sri Lanka"
Sudan,"Zain Sudan, Sudatel"
Sweden,"Telia, Telia Mobile, Tele2 Sweden, Bredband2 AB, Opera Mini Proxy, Hi3G Access AB, Telenor Sverige"
Switzerland,"Sunrise, Quickline Switzerland, Salt Mobile SA, UPC Schweiz, Swisscom"
Syria,Syrian Telecom
Taiwan,"TWN Broadband, Chunghwa Telecom, Taiwan Mobile, T Star, FarEasTone"
Thailand,"3BB Broadband, AIS Fibre, TOT, True Mobile, AIS Mobile, CAT Telecom, DTAC, True Online"
Tunisia,TOPNET
Turkey,"TurkNet, Turksat, Turk Telekom, Turkcell, Turkcell Superonline, Vodafone Turkey, Andromeda Tv Digital Platform Isletmeciligi A.s."
Ukraine,"Vodafone Ukraine, JSC Ukrtelecom, Volia, Lanet Network Ltd, lifecell, Kyivstar"
United Kingdom,"TalkTalk, Community Fibre Limited, BT, iCloud Private Relay, 1&1 Internet AG, Datacamp Limited, Three, M247 Europe SRL, Virgin Media, Hydra Communications Ltd, Plusnet, Clouvider Limited, Digital Ocean, Sky Broadband, Linode, Zenlayer, Vodafone UK, Choopa, LLC, Vodafone, OVH SAS,Amazon.com, EE, GTHost, 24 Shells, Telefonica O2 UK"
United States,"Comcast Cable, Spectrum, T-Mobile USA, Verizon Wireless, AT&T U-verse, AT&T Wireless, Verizon Fios, M247 Europe SRL, GTHost, Clouvider Limited, Cox Communications, Zenlayer, Optimum Online, CenturyLink, Frontier Communications, Datacamp Limited, OVH SAS, Psychz Networks, Digital Ocean,Amazon.com, ColoCrossing, Hetzner Online GmbH, Suddenlink Communications, iCloud Private Relay, FranTech Solutions, CloudSouth, Latitude-sh, CONTABO, Mediacom Cable, Opera Mini Proxy, G-Core Labs S.A., Hetzner Online, Windstream Communications, Heficed, Choopa, LLC, OVH Hosting, Oracle Cloud, Hurricane Electric, Cogent Communications, Linode, Spectrum Business, DediPath, Quantil Networks, Google Fiber, Sparklight, DataShack, LC,UK2.NET, Cloud South, Alibaba, WideOpenWest, RCN, Ipxo Limited, Akamai Technologies, US Cellular, AT&T Internet Services, DFW Datacenter, UpCloud USA, Netprotect, Inc., Microsoft Azure, Atlantic Broadband, Peg Tech, TDS Telecom, PenTeleData, WholeSale Internet, Verizon Internet Services, Comcast Business, AT&T Services, Midco, Hughes Network Systems, Metronet, Starlink, Cincinnati Bell, Consolidated Communications, Stark Industries Solutions Ltd, Performive, Ziply Fiber, Armstrong Cable,Wowrack.com, CloudMosa, 24 Shells, Google Cloud, Wave Broadband, PacketHub S.A., Nexril, Input Output Flood LLC, ATT Wireless, US Dedicated, Cox Business, Google Proxy, Sharktech, Lumen, Tefincom S.A., Grande Communications"
Uruguay,Antel Uruguay
Uzbekistan,"Uztelecom, UNITEL LLC, COSCOM Liability Limited Company, Universal Mobile Systems Lcc"
Vietnam,"Viettel Group, VNPT, FPT Telecom"
